emotion_category,has_price,has_info_gap,content_length,photo_quality_score,structured_content_flag,caption_text,image_count,tags,restaurant_name,cuisine_type,restaurant_popularity,novelty_score,raw_price,post_datetime,follower_count,like_count,save_count,comment_count,link,price_avg,price_level,content_length_bucket,engagement_score,is_high_engagement,like_rate,save_rate,comment_rate,weekday,is_weekend,image_count_bucket,image_density
Hybrid,1,0,440,2,1,"近期深夜食堂风好大！因为他家开到很晚，所以之前健身完和朋友们总爱去吃宵夜。感觉很适合冬天晚上去吃❄️ 吃完全身热乎乎地出门然后在冷风中哈气。实话分享一下喜欢的items ✨✨✨推✨荐✨✨✨ ♨️日式茶蒸碗（7.99） 超级喜欢这个蒸蛋，铺满海鲜，之前朋友马老师点过一次以后我每次去都会点。砂锅碗装真的很适合冬天吃，吃完整个人都很酥服😭 ♨️碳烤生蚝（14.99） 每份6个，很大一只。超级香🥰而且很干净，我没有一次吃到沙子。一定要挤柠檬汁‼️ ♨️碳烤三文鱼（15.99） 喜欢吃日式照烧酱和焦香三文鱼的朋友赶紧冲，我朋友很喜欢那个酱，三文鱼肉干香，喜欢三文鱼皮。 ♨️鱼子三文鱼饭（13.99） 一定要搅拌！三文鱼拌饭超级香。不过米饭对我来说有点太多了建议要个小碗再mix。 ♨️日式拉面 我很爱喝【海鲜乌冬面】和【柚子鸡拉面】的汤🍜 也喜欢【黑豚骨拉面】+玉米粒！ 一定要➕溏心蛋🥹听我的！一定是拉面里面加！我真的很喜欢流心口感。加饭里会老一点点。 ♨️冰淇淋鲷鱼烧（5.99） 我觉得单吃鲷鱼烧会觉得有点油，但是搭配冰淇淋omg so good🤩 一点也不腻了就 📍：3240 S Halsted St, Chicago, IL 60608 ⏰：5pm-1.30am（周二不🈺️）",13,#100家探店计划 #笔记灵感 #芝加哥美食 #芝加哥探店 #芝加哥生活 #笔记灵感 #芝加哥 #芝加哥玩乐 #周末探店 #留学美国,Momotaro,Japanese,2,1,"7.99,14.99,15.99,13.99,5.99",2023-10-29,1287,412,402,28,芝加哥｜大火的深夜食堂究竟咋样🥵 - 小红书,11.790000000000001,low,long,0.6542346542346542,True,0.3201243201243201,0.3123543123543124,0.021756021756021756,Sunday,True,large,0.029545454545454545
Hybrid,0,0,707,2,1,"就在芝加哥中国城步行街！真的是既好吃！又好看！吃完隔壁湘菜过来消食，下次还想下午过来get个美味下午茶！天气渐渐冷了也特好这一口，而且绵绵香香的酸奶冬天吃根本不会被冰到！ 🍧 酸奶文创雪糕真的太卷了！这波文化输出真的赢麻了！雪糕好漂亮好漂亮，酸奶味很重很好吃。黄色这个好像是芒果味的，粉色的酸酸甜甜中又透着一股清新的花香味（我超喜欢这个）而且不是雪糕刺客！ 🌾 经典紫米酸奶 感觉他家酸奶饮品很适合饭后，不会耽误主餐。酸奶偏稀，酸奶偏酸甜口（喝“菊乐”长大的孩子很喜欢），感觉大概和之前在重庆喝“一只酸奶牛”的差不多，更像是在喝粘稠一点的酸奶饮料，紫米应该是沥水了很有嚼劲儿。 🥑 牛油果酸奶 很丝滑的口感，牛油果的醇香味很重，牛油果爱好者天菜！果然大杯比小杯喝起来更爽😋 🍍 波罗蜜夹夹 五个都好大只，两口吃不完一个，酸奶包比另一家包的多好多。波罗蜜贼新鲜，用的冷萃的酸奶吃起来口感很厚重，会更突出奶的香醇味，上面撒了茉莉花。没吃完打包带回家当早饭也够顶饱一上午！不知道怎么会有这种idea🥹吃之前冲颜值，吃之后喜欢上了。 🥐 酸奶水果可颂 又是冲着颜值买的一样！和闺蜜怕胖给店员说如果要加糖之类的调味都不要加（可能原本也没有）。收到的是干净的可颂+纯水果香甜，减脂人表示喜欢！放料好舍得啊这个搭配也是好绝，好扎实一大个。 然后！他家还有自己品牌的螺蛳粉！闺蜜看了配料表都很干净，没忍住买了一袋带走，回家给我分享说香麻了，下次俺再去唐人街。 装修蓝色为主，好多好多便签，还有朋友留的漂亮可爱画，感觉是个暖暖的有爱的小店。 总体来说，口感颜值都在线！适合打卡、早餐、饭后甜点或和朋友聚会下午茶～ 🌟大颖酸奶Big Ying yogurt 📍2121 S China Pl unit b, Chicago, IL 60616",7,#芝加哥美食 #芝加哥 #笔记灵感 #留学美国 @薯队长 @吃货薯 @日常薯 @薯条小助手 #芝加哥吃喝玩乐 #芝加哥旅游 #芝加哥探店 #吃下这一口烟火气 @饭团外卖 #团仔带你吃喝玩乐,Big Ying Yogurt ,Chinese,1,3,nan,2024-11-17,1287,253,184,25,卧😧芝加哥文创已经next level了…豪痴‼️ - 小红书,,,long,0.358974358974359,False,0.19658119658119658,0.14296814296814297,0.019425019425019424,Sunday,True,medium,0.009900990099009901
Hybrid,0,0,546,2,1,这家超级有名的brunch店排队要超级久，去的时候排队至少有100米…点外卖带走就不需要在店里排队啦～那么漂亮的一盒，谁敢说自己不是外貌协会！. 🥥Matcha Pandan Éclair 大家都在卖三种酥皮塔和truffle croissant🥐但这支eclair简直是宝藏单品！奶油层的幼滑轻盈与泡芙的酥脆香甜形成鲜明对比。焦糖在曲奇表层烘烤出脆壳，泡芙体表面干爽内部湿润，是完美的大空心。内陷咖椰酱混合脆米，焦香十足，斑斓味伴随其中，尾调咖啡味悠长。 🥐层层叠叠的酥皮，亮晶晶的表层，拿在手里异常轻盈。吃着干爽薄脆，内部湿润，带点嚼劲。 🥓 Ham & Cheese Danish 薄薄的火腿入口，待肌间脂肪缓缓融化，澎湃的鲜美肉香、馥郁饱满的橡木果香交融，近似奶酪的焦糖甜香，质地丰腴软嫩如黄油，嚼感又微微弹嫩。Raclette芝士更是激发了火腿中鲜美肉汁，唾液疯狂分泌，脑中只有“鲜美”二字。 🫐 Foie Gras Danish 多莓果酱，开心果酱甜美双重buff，绸缎般的鹅肝酱细腻丝滑，轻轻附在上面。一口咬下，四重口感丰富又融合，柔软包裹酥脆，油润融进香甜，以树莓明媚果酸收尾，像大餐一顿后的解腻果汁，更是让人停不下来。 🐟 Salmon Danish 奶油奶酪质地轻盈细腻，裹着细碎香料小葱，带着甜甜奶香，恰到好处的柠檬酸解腻提味。油浸三文鱼细腻鲜嫩，烟熏三文鱼籽弹牙爆汁。不是什么新颖的设计，却越是能展现米一功底。 . 虽然但是…忍不住说，就鹅肝这款甩了Basdban几条街…（个人口味偏好，仅供参考） ,9,#日常 #日常生活里的快乐瞬间 #COTD咖啡探店 #芝加哥探店 #米其林 #米其林餐厅探店 #吃了甜食会开心 #奶油泡芙 #泡芙 #芝加哥 #芝加哥美食 #芝加哥留学 #民间食评人大赛 #美食荒漠中的人间美味 @吃货薯,Kasama,Filipino,3,3,nan,2024-05-07,5125,1419,1665,45,芝加哥｜不排队吃上米其林🥐 - 小红书,,,long,0.6105365853658536,False,0.27687804878048783,0.3248780487804878,0.00878048780487805,Tuesday,False,medium,0.016483516483516484
Guide,0,1,447,2,1,"手机里存了很久的居酒屋，一直很馋他们的生鱼饭和烤物，今天赶巧跟朋友一起来吃了。整体来说海产新鲜，烤物都挺在线，闭眼点没雷。听说主厨原来在momotaro和sushi-san都工作过，调味啥的没什么可挑的，但也不算很特别或是惊艳。平时吃吃还蛮不错。 ⭐️⭐️⭐️⭐️⭐️toro tartar甜虾扇贝饭 今天的special，比全血版本少了海胆，不过味道还是很棒的。食材很新鲜，口感很好，上面可选盖生鹌鹑蛋或者鸡蛋，可以根据想要蛋黄多少来选择。米粒粒分明，但很润，寿司米酸甜味淡淡的刚好。 ⭐️⭐️⭐️炸物 饺子和鱿鱼须都中规中矩，无功无过。鱿鱼须要是有个酱会更好，白嘴吃有点没滋味，不够润。 🍖烤物 - ⭐️⭐️⭐️⭐️鸡皮Kawa：像是炸的不像是烤的。不过确实够干够脆，鸡油都排出去了，好吃不腻。 - ⭐️⭐️⭐️⭐️⭐️鸡胗Sunagimo：好吃、入味、够脆 - ⭐️⭐️⭐️鸡腿Negima：很juicy，不过调味很淡也没太入味 - ⭐️⭐️⭐️⭐️⭐️Shishito：小辣椒一点不辣，好吃有味、满口清香、停不下来 ⭐️⭐️⭐️⭐️⭐️Unagidon 感觉有早年momotaro鳗鱼饭的神韵诶。酱汁没有过甜，配的腌黄瓜非常好地平衡了鳗鱼的厚重。上面撒的一点spice让味道又丰富了一些。挺有意思的，好吃 🍺另外他家深水炸弹好喝。柚子味的甜甜的很清爽，推荐 📍Ikigai Sushi & Izakaya 372 W Chicago Ave, Chicago, IL 60654",6,#美食荒漠中的人间美味 #真香猎奇美味 #芝加哥 #芝加哥生活 #芝加哥美食 #芝加哥大学 #芝加哥探店 #芝加哥玩乐 #芝加哥周边 #芝加哥旅游 #芝加哥留学 #芝加哥美食探店 #美国芝加哥 #美国生活 #探店 #周末探店 #美食探店 #跟我来探店 #美食 #美食日常 #我的美食日记,Ikigai Sushi &Izakaya,Japanese,2,1,nan,2024-05-24,159,236,302,4,芝加哥探店｜超棒的居酒屋🏮 - 小红书,,,long,3.408805031446541,True,1.4842767295597483,1.89937106918239,0.025157232704402517,Friday,False,small,0.013422818791946308
Guide,1,0,298,3,1,"我的食堂金牛苑一定要让大家知道！！一直去也很近就在chinatown，他们家的蒜蓉和海鲜实在是太好吃太香了！闭眼点不踩雷！ ✨✨✨✨✨美食推荐😋✨✨✨✨✨ 1️⃣ 大蟹生炒糯米饭 🦀 48🔪 这家的螃蟹糯米饭真的好好吃！分量很大！而且蒸好的糯米饭和螃蟹真的是咸香味大满足！ 2️⃣ 蒜蓉粉丝蒸扇贝（2个）🐚 18🔪 这扇贝肉很大一个，必点！非常新鲜！ 3️⃣ 蒜蓉粉丝蒸开背虾🦐 15.95🔪 太香太香，虾很q弹而且虾线是挑掉的，很下饭！ 4️⃣ 小笼包（8个）12.95🔪 这家小笼包真的不错（终于不是大包子了）！皮是中等厚度肉很多！ 5️⃣ 葱爆牛肉🐮 18.95🔪 下饭下饭！有选择恐惧症的想吃肉的无脑冲这个！ 6️⃣ 手撕鸡🐔 16.95 🔪 鸡肉很嫩，调料味道咸度刚刚好～ 7️⃣ 西湖牛肉羹 🍲 14.95🔪 我朋友超喜欢喝，豆腐牛肉量都很大！ 🍽️: 金牛苑 📍: 242 W Cermak Rd, Chicago",10,#留学美国 #芝加哥 #芝加哥生活 #芝加哥美食 #芝加哥探店 #芝加哥玩乐 #粤菜 #芝加哥吃喝玩乐 #芝加哥中餐,Golden Bull Restaurant,Cantonese,3,1,"48,18,15.95,12.95,18.95,16.95,14.95",2024-10-20,14000,282,138,41,在芝加哥的一定要吃这家粤菜！！🦞 - 小红书,20.821428571428573,low,medium,0.032928571428571425,False,0.020142857142857143,0.009857142857142858,0.0029285714285714284,Sunday,True,medium,0.03355704697986577
Hybrid,1,1,172,1,0,周末去芝加哥中国城晃悠，随便瞎摸索居然找到了隐藏款的地下中国城！！超多好吃的简直一秒回国，我真感动到久久不能平复📍Google map：HeungSeng Square 📌具体位置见P9，腾晟广场进门，下到地下一层 💰最正宗的中国菜人均20🔪保你吃到饱！！ 里面有各种经典小吃和中餐：川菜，炸串，海南鸡饭，炸鸡排，绝味鸭脖，牛肉汤，土家酱香饼，奶茶，面食每周可以不重样的吃简直爽翻了！！瞬刻爱上芝加哥了  评论区：正新鸡排不行、巨难吃； 串说者的鱿鱼串避雷！满口化学味； 炳哥川菜辣子鸡里一半是炸薯条，花菜炒腊肉肉只有四片都是肥的。美食地下、老鼠泛滥；就餐环境差强人意。,9,#芝加哥美食 #中国城 #中餐 #小吃街 #探店 #芝加哥 #美食打卡 #隐藏式美食 #必吃 #留学生,Szechuan Bistro,Chinese,2,1,20,2025-02-18,986,203,208,62,芝加哥地下中国城 ｜一秒回国🇨🇳！！ - 小红书,20.0,low,short,0.47971602434077076,False,0.20588235294117646,0.21095334685598377,0.06288032454361055,Tuesday,False,medium,0.05232558139534884
Guide,0,1,250,2,1,"难以置信这家店开了这么久今天才吃上😂简直错过太多。点的菜有点多，篇幅有限只评非常好的的。剩下的看图。
	
⭐️⭐️⭐️⭐️⭐️长沙臭豆腐
这个真的是一秒回国。豆腐炸得超级酥。唯一缺点就是豆腐切得有点厚。如果厚度减半的话就有臭豆腐该有的那种又酥又薄又脆的口感，入味也会更理想。
	
⭐️⭐️⭐️⭐️⭐️干锅腊肉烟笋
这个菜炒得实在是太香了。腊肉切得巨薄，把肥肉里的油都充分煸出来了。整道菜干香可口，吃到最后大家把垫锅底的洋葱都吃了😂
	
⭐️⭐️⭐️⭐️⭐️酱板鸭烧牛蛙
一道68的大菜。店里面强推的。一上桌就喷香四溢。牛蛙新鲜无异味，汤汁巨鲜。但板鸭是真的辣，而且会越煮越辣。出国后就没再体会过的那种辣。
	
⭐️⭐️⭐️⭐️⭐️剁椒鱼头
鱼新鲜，没有草腥味。调味准。无可挑剔。
	
⭐️⭐️⭐️⭐️⭐️清炒空心菜
这道空心菜炒得很见水平。调味和火候都掌握得超好。菜也没有硬杆。全桌一致好评
	
整体来讲这顿饭吃得很满足。6个人点11个菜基本全吃完了。除了个别菜做得有点难评，但是不影响当家的菜做得好，基本能做到国内湘菜馆的水平。而且不知道是不是因为位置的关系，周五晚上6:30居然门口街趴还很多，店里也不满。对于不爱排队不爱凑热闹的人来说是个加分项。
	
📍湘缘Hunan Bistro
2414 S Wentworth Ave, Chicago, IL 60616",12,#芝加哥 #芝加哥生活 #芝加哥美食 #芝加哥大学 #芝加哥探店 #芝加哥玩乐 #芝加哥周边 #芝加哥旅游 #芝加哥留学 #芝加哥美食探店 #美国芝加哥 #美国生活 #探店 #周末探店 #美食探店 #跟我来探店 #美食 #美食日常 #我的美食日记,Hunan Bistro,Chinese ,2,1,nan,2024-04-26,159,235,265,9,芝加哥探店｜一秒回国的湘菜🔥 - 小红书,,,medium,3.20125786163522,True,1.4779874213836477,1.6666666666666667,0.05660377358490566,Friday,False,medium,0.048
Guide,0,1,409,2,1,"店名叫Central East Asian Cuisine 家乡印象 在芝加哥Chinatown 是原来的印象新疆 最近新加了铁锅炖系列 有很多选择：走地鸡榛蘑锅 铁锅炖大鹅 还有新出的牛蹄锅等等 直接把北方冬天❄️那一套搬进了芝加哥 🏅个人Top3️⃣推荐菜： 1️⃣【铁锅炖牛筋牛腩】 上桌的时候会给你一个计时器 大概炖 20 min左右 时间一到 开盖 整口铁锅都在咕嘟咕嘟翻滚 酱香一点点往脸上扑 最后撒一把葱花 就可以开始吃了 牛筋软到黏嘴 牛腩一夹就散 土豆+宽粉+玉米🌽：完全是“汤味本体” 我们还额外加了豆腐和白菜🥬 和这一锅真的超级搭：白菜甜 豆腐嫩———全都在认真吸汤 铁锅真的很深：量大到已经吃撑了 但看起来好像只对它造成了一点皮外伤 打包回家 往里加个西红柿🍅 再丢一块海底捞番茄底料 直接get新菜：番茄炖牛腩 2️⃣【新疆烤包子】 外皮烤至金黄酥脆 一掰开就掉渣 内馅是羊肉香混着洋葱🧅的甜 一口下去直接爆汁！ 属于是每次来的必点 3️⃣【馕炒包菜】 馕被炒到外焦里韧 带一点嚼劲 每一块都裹着锅气！ 包菜清甜爽脆 很清口！ 他家目前也在饭团年度美食必吃榜投票中～ 📍 2353-2355 S Wentworth Ave, Chicago, IL 60616",5,#芝加哥美食 #留学生干饭 #芝加哥生活 #芝加哥旅游 #芝加哥大学 @芝加哥饭团外卖 #留子日常 #团仔带你吃喝玩乐 #芝加哥中餐 #来拍照了 #我的日常,Central East Asia,,2,3,nan,2026-01-20,2743,180,133,8,芝加哥这家铁锅炖 真的太顶了… - 小红书,,,long,0.11702515493984689,False,0.06562158220925994,0.048487057965730954,0.002916514764855997,Tuesday,False,small,0.012224938875305624
Guide,0,1,433,3,1,"第一次吃的午饭没吃到烧鸟 大馋美女直接就是再去吃一个晚饭！没想到最好吃的是一碗乌冬面😭 借鉴@黑麒麟点评 老师们的点评系统 我们打出了一个 8.35 (服务8 环境8.25 味道8.6) 🍜Maze soba 肉臊干乌冬🌟🌟🌟🌟🌟 （忘拍照了可恶啊啊啊） - 心中之最 吃了清新的鱼生之后再吃一口油润的肉臊乌冬面拌上生蛋黄 再加上木鱼花和葱花 嘴巴里面和口水打架！ 🍱Ikura uni don 海胆鱼子金枪鱼饭🌟🌟🌟🌟✨ -豪华的新鲜食材很难不好吃 超级鲜甜 米饭上还有一层海苔粉 层次感拉满 🐟Eel 鳗鱼烧鸟 🌟🌟🌟🌟 - 超新鲜的绵软鳗鱼 一定要趁热吃 酱汁有一点甜 如果不接受的话要避雷 🥩 Tteokgalbi 烤牛肉丸 🌟🌟🌟🌟 - 用牛肋排绞成的长肉丸做的 汁水超级充盈 薄薄的甜口酱汁 但是属于本北方人可以接受的程度 🦐Botan ebi shooter 甜虾鱼籽shot 🌟🌟🌟✨ -甜虾 鲑鱼子 和生鹌鹑蛋的组成 打底的是酸微甜的酱汁 配上新鲜食材超级清爽 就是分量太小了 不介意性价比的值得一试 🐠black cod misoyaki 鳕鱼味增烧 🌟🌟🌟 -吃到了大渔铁板烧的味道！ 🐂Beef tongue 👅 🌟🌟🌟 - 经典牛舌味道 不会出错的选择 💣可以不点的： NEGIMA（京葱鸡肉串）普通味道 TSUKUNE （鸡肉丸串）有点柴没必要 店名：TenGoku Aburiya 651 W Washington Blvd, Chicago, IL 60661",8,#芝加哥 #芝加哥美食 #留学生干饭 #烧鸟 #刺身 #干饭 #日料,TenGoku Aburiya,Japanese,2,1,nan,2026-01-09,48,156,187,5,芝加哥｜ 还有谁没吃过这家日料！ - 小红书,,,long,7.25,True,3.25,3.8958333333333335,0.10416666666666667,Friday,False,medium,0.018475750577367205
Guide,1,0,633,3,1,芝加哥｜周末不睡懒觉排米一🌟Brunch 吃爽了上一次吃Kasama抠抠索索没舍得多点 最后果然没吃爽 这一次生日带爸妈打卡 来都来了 斥巨资4个人花了将近250🔪 主打一个把想吃的全点一遍 ☕️ Drinks ▪️ 黑芝麻拿铁 🌟🌟🌟🌟💫 少糖少冰刚刚好 黑芝麻不算很浓郁 口感细腻不会剌嗓子 ▪️ Ube拿铁 🌟🌟🌟🌟💫 少糖少冰比黑芝麻会甜一点 热饮会比冰饮颜值更高 ▪️ 抹茶拿铁 🌟🌟🌟🌟 不另外加糖喝抹茶本味 中上水平的抹茶拿铁 ▪️ 拿铁 🌟🌟🌟💫 热拿铁最期待的拉花也就那样 咖啡豆微微偏酸 🥐 Pastries ▪️ 黑松露可颂 🌟🌟🌟🌟🌟 公认全场最好吃甜品 口感酥脆 外壳的糖粒+内陷的黑松露奶油 咸甜党的最爱 必点 ▪️ 烟熏三文鱼Danish 🌟🌟🌟🌟🌟 满嘴三文鱼的香味 但完全不会腥 是咸口Danish里面我个人最喜欢的一款 ▪️ 鹅肝酱Danish 🌟🌟🌟🌟 周末限定款 那肯定是要点来给爸妈尝尝的 个人对鹅肝无感所以吃下来觉得这款中规中矩 ▪️ 抹茶斑斓Eclair 🌟🌟🌟🌟💫 季节限定款 为颜值买单 上面的奶油完全不会过甜 淡淡的斑斓香 打包回家第二天才吃 所以口感上会打折扣 ▪️ Ube巴斯克 🌟🌟🌟💫 点单率很高的一款 但个人感觉有点过甜 多吃几口会有点腻 🍛 Dishes ▪️ 上海细春卷 🌟🌟🌟🌟💫 本来没打算点 是听了店员推荐后加点的 没想到出乎意料的还不错 就是太细了两口就吃完了哈哈 ▪️ Pork Belly Adobo 🌟🌟🌟🌟 因为是周末限定所以还是点了 其实就是红烧肉盖饭 肉量感人 味道对于亚洲人来说倒是没有很特别 ▪️ Philipino Breakfast 🌟🌟🌟🌟💫 点了combo 能吃到两种肉 有香肠和叉烧 肉量一般 个人更推荐叉烧肉 香肠味道相比之下比较普通 ▪️ MeatLoaf 🌟🌟🌟🌟🌟 全场最佳主食 两大块肉饼配着浓厚酱汁拌饭 一口接一口 喜欢花生酱或是重口味的的一定要冲 我的最爱 📍Kasama 💰 Brunch人均：$50+ 周末来一定要趁早 最好8点到 不然可能要排上2+小时 如果不想排长队 也可以在网上下单然后自取外带回家吃 ,13, #芝加哥 #芝加哥生活 #芝加哥美食 #芝加哥探店 #芝加哥旅游 #芝加哥Brunch #芝加哥米其林 #米其林一星 #kasama #kasama芝加哥,Kasama,Filipino,3,3,250/4,2025-10-14,1203,167,105,3,芝加哥｜周末不睡懒觉排米一🌟Brunch 吃爽了 - 小红书,62.5,high,long,0.228595178719867,False,0.13881961762261014,0.08728179551122195,0.0024937655860349127,Tuesday,False,large,0.020537124802527645
