feature,feature_value,avg_engagement
has_price,0,2.339980449481581
has_price,1,2.206473614618333
is_weekend,False,2.333427330944242
is_weekend,True,2.1728406314386977
content_length_bucket,long,2.6127270881541995
content_length_bucket,medium,1.957343521124009
content_length_bucket,short,1.9351733104987663
image_count_bucket,large,0.6859713239579895
image_count_bucket,medium,1.9950221613841668
image_count_bucket,small,2.8783039123726497
novelty_score,1,2.184687224692933
novelty_score,2,0.35580120059021314
novelty_score,3,3.3812847601067113
restaurant_popularity,1,1.947173322644007
restaurant_popularity,2,3.1157364113783244
restaurant_popularity,3,1.2921946655252388
structured_content_flag,0,1.834636024628836
structured_content_flag,1,2.4847235658653073
